transaction_id,transaction_date,transaction_timestamp,channel,store_id,customer_id,session_id,device_type,utm_source,product_id,category,product_name,quantity,unit_price,total_amount,payment_method,is_returned
TXN-0000013,2026-02-03,2026-02-03T08:07:59,marketplace,,CUST-095154,8b4b3eac,desktop,,printers_017,printers,Printers Model 17,3,16341.97,49025.91,card_pos,False
TXN-0000014,2025-01-30,2025-01-30T15:52:04,online,,CUST-199388,e5f5c37e,mobile,google,tv_029,tv,Tv Model 29,1,4464.54,4464.54,installment,False
TXN-0000015,2025-03-26,2025-03-26T16:48:46,offline,89,CUST-081715,,,,audio_017,audio,Audio Model 17,2,48224.27,96448.54,installment,False
TXN-0000016,2025-11-29,2025-11-29T11:04:21,offline,3,CUST-060324,,,,gaming_015,gaming,Gaming Model 15,2,6225.01,12450.02,card_pos,True
TXN-0000017,2025-12-29,2025-12-29T09:32:15,online,,CUST-073002,e3035601,desktop,google,photo_video_002,photo_video,Photo Video Model 2,1,43008.84,43008.84,card_online,False
TXN-0000018,2025-10-20,2025-10-20T11:06:06,online,,CUST-172749,347a5c1a,mobile,direct,climate_016,climate,Climate Model 16,2,40412.35,80824.70,card_online,False
TXN-0000019,2025-12-11,2025-12-11T20:55:06,online,,CUST-065184,bada6de6,mobile,direct,photo_video_021,photo_video,Photo Video Model 21,2,36464.04,72928.08,card_online,False
TXN-0000020,2025-08-25,2025-08-25T21:35:06,marketplace,,CUST-013262,2f08e815,desktop,,tv_028,tv,Tv Model 28,2,40438.51,80877.02,installment,True
TXN-0000021,2025-02-17,2025-02-17T15:13:55,offline,52,CUST-043159,,,,printers_025,printers,Printers Model 25,1,20438.42,20438.42,installment,True
TXN-0000022,2025-07-19,2025-07-19T19:46:50,offline,72,CUST-127578,,,,audio_030,audio,Audio Model 30,2,14404.41,28808.82,card_pos,False
TXN-0000023,2025-04-22,2025-04-22T08:03:37,offline,62,CUST-139232,,,,smartphones_019,smartphones,Smartphones Model 19,1,37448.18,37448.18,card_pos,False
TXN-0000024,2025-09-18,2025-09-18T21:15:25,online,,CUST-031428,4dd75e9b,tablet,direct,laptops_028,laptops,Laptops Model 28,3,3583.45,10750.35,installment,False
TXN-0000025,2025-02-11,2025-02-11T12:13:42,online,,CUST-187746,d2f3a2e2,mobile,google,accessories_022,accessories,Accessories Model 22,3,15954.22,47862.66,card_online,False
TXN-0000026,2025-08-23,2025-08-23T17:36:06,offline,10,CUST-132615,,,,gaming_030,gaming,Gaming Model 30,1,662.91,662.91,cash,False
TXN-0000027,2025-06-28,2025-06-28T15:53:34,offline,91,CUST-171436,,,,printers_003,printers,Printers Model 3,2,14391.37,28782.74,card_pos,False
TXN-0000028,2025-10-11,2025-10-11T09:47:35,offline,20,CUST-158553,,,,audio_030,audio,Audio Model 30,1,13369.40,13369.40,card_pos,False
TXN-0000029,2025-04-15,2025-04-15T21:03:05,offline,82,CUST-072531,,,,photo_video_021,photo_video,Photo Video Model 21,3,24527.89,73583.67,card_pos,True
TXN-0000030,2026-01-30,2026-01-30T16:45:27,marketplace,,CUST-147039,4a23502d,mobile,,tablets_021,tablets,Tablets Model 21,1,37112.30,37112.30,card_online,False
TXN-0000031,2025-03-18,2025-03-18T14:08:02,offline,40,CUST-010459,,,,kitchen_002,kitchen,Kitchen Model 2,3,27714.75,83144.25,cash,False
TXN-0000032,2025-05-08,2025-05-08T14:39:47,online,,CUST-040516,9bcff46b,tablet,google,photo_video_004,photo_video,Photo Video Model 4,3,44228.91,132686.73,card_online,False
TXN-0000033,2025-04-01,2025-04-01T20:59:26,online,,CUST-175613,3426b877,desktop,facebook,printers_014,printers,Printers Model 14,3,46238.47,138715.41,card_online,False
TXN-0000034,2025-02-25,2025-02-25T21:58:29,online,,CUST-091661,c29f99f0,mobile,facebook,accessories_028,accessories,Accessories Model 28,2,11276.20,22552.40,card_online,True
TXN-0000035,2025-04-09,2025-04-09T12:22:41,online,,CUST-133538,4a74ca31,mobile,affiliate,accessories_011,accessories,Accessories Model 11,1,48350.08,48350.08,installment,False
TXN-0000036,2025-03-01,2025-03-01T17:27:22,online,,CUST-190984,745e47a0,desktop,direct,printers_009,printers,Printers Model 9,2,2104.21,4208.42,cash,False
TXN-0000037,2025-10-23,2025-10-23T20:34:43,online,,CUST-188595,963ff8ad,tablet,organic,tv_009,tv,Tv Model 9,2,283.23,566.46,card_online,False
TXN-0000038,2025-12-07,2025-12-07T19:57:19,online,,CUST-132940,19c4a3b7,mobile,direct,printers_011,printers,Printers Model 11,3,42430.16,127290.48,card_online,False
TXN-0000039,2025-03-07,2025-03-07T10:39:36,offline,39,CUST-000107,,,,tv_014,tv,Tv Model 14,2,33929.43,67858.86,cash,False
TXN-0000040,2025-08-09,2025-08-09T15:43:13,online,,CUST-134002,f9c0e525,mobile,email,networking_019,networking,Networking Model 19,2,23355.41,46710.82,card_pos,False
TXN-0000041,2025-02-13,2025-02-13T21:48:15,offline,87,CUST-052201,,,,audio_017,audio,Audio Model 17,3,16891.38,50674.14,card_pos,True
TXN-0000042,2025-05-06,2025-05-06T18:36:12,offline,92,CUST-129599,,,,home_appliances_020,home_appliances,Home Appliances Model 20,1,22878.73,22878.73,installment,False
TXN-0000043,2025-12-02,2025-12-02T11:11:51,offline,90,CUST-013165,,,,wearables_001,wearables,Wearables Model 1,1,38964.34,38964.34,card_pos,False
TXN-0000044,2025-03-04,2025-03-04T16:38:20,offline,97,CUST-160604,,,,home_appliances_005,home_appliances,Home Appliances Model 5,3,26649.37,79948.11,installment,False
TXN-0000045,2025-10-08,2025-10-08T20:15:53,online,,CUST-167160,d58e2660,mobile,facebook,home_appliances_029,home_appliances,Home Appliances Model 29,2,22612.47,45224.94,card_online,False
TXN-0000046,2025-08-14,2025-08-14T16:05:08,online,,CUST-039540,4484d040,mobile,organic,laptops_023,laptops,Laptops Model 23,2,16924.21,33848.42,card_pos,False
TXN-0000047,2025-07-28,2025-07-28T14:24:57,online,,CUST-153113,8fdece58,tablet,google,gaming_018,gaming,Gaming Model 18,1,10499.35,10499.35,card_pos,False
TXN-0000048,2025-09-02,2025-09-02T21:26:34,online,,CUST-195957,8565bc12,desktop,facebook,smartphones_012,smartphones,Smartphones Model 12,2,42700.71,85401.42,card_pos,False
TXN-0000049,2025-05-20,2025-05-20T20:25:46,online,,CUST-043266,a0863170,desktop,email,accessories_016,accessories,Accessories Model 16,2,33508.91,67017.82,cash,False
TXN-0000050,2025-07-21,2025-07-21T10:55:29,offline,24,,,,,climate_019,climate,Climate Model 19,1,32207.93,32207.93,installment,False
TXN-0000051,2025-08-21,2025-08-21T21:26:16,offline,11,CUST-196353,,,,gaming_011,gaming,Gaming Model 11,2,14056.18,28112.36,card_pos,False
TXN-0000052,2025-06-29,2025-06-29T08:15:12,online,,CUST-005343,59f99c4f,desktop,google,tv_021,tv,Tv Model 21,3,2203.86,6611.58,card_online,False
TXN-0000053,2025-04-22,2025-04-22T17:47:45,online,,CUST-030025,41c302fa,desktop,google,home_appliances_023,home_appliances,Home Appliances Model 23,2,8554.90,17109.80,card_online,False
TXN-0000054,2025-06-09,2025-06-09T19:12:04,marketplace,,CUST-155215,31395082,desktop,,climate_022,climate,Climate Model 22,2,19952.39,39904.78,installment,False
TXN-0000055,2026-01-31,2026-01-31T17:50:02,offline,45,CUST-173414,,,,audio_028,audio,Audio Model 28,1,39851.12,39851.12,cash,False
TXN-0000056,2025-11-28,2025-11-28T13:40:57,offline,59,CUST-114161,,,,gaming_001,gaming,Gaming Model 1,2,5454.84,10909.68,card_pos,False
TXN-0000057,2025-11-30,2025-11-30T15:27:52,offline,94,CUST-084491,,,,audio_020,audio,Audio Model 20,3,38776.14,116328.42,card_pos,False
TXN-0000058,2025-02-14,2025-02-14T18:24:21,online,,CUST-007524,4dfcf21a,mobile,google,audio_029,audio,Audio Model 29,2,28577.51,57155.02,card_online,False
TXN-0000059,2025-05-13,2025-05-13T16:00:33,offline,25,,,,,gaming_009,gaming,Gaming Model 9,3,44028.35,132085.05,installment,False
TXN-0000060,2026-01-24,2026-01-24T20:01:05,online,,CUST-077133,0627dde2,mobile,organic,tv_023,tv,Tv Model 23,3,24641.90,73925.70,card_online,False
TXN-0000061,2025-08-31,2025-08-31T13:44:29,online,,CUST-071020,ab060479,mobile,google,kitchen_017,kitchen,Kitchen Model 17,3,27608.35,82825.05,card_pos,False
TXN-0000062,2026-01-16,2026-01-16T15:17:46,offline,76,CUST-137531,,,,kitchen_025,kitchen,Kitchen Model 25,1,10974.96,10974.96,cash,False
TXN-0000063,2025-04-10,2025-04-10T16:08:17,online,,CUST-011932,4cea11f2,tablet,direct,audio_008,audio,Audio Model 8,2,903.59,1807.18,installment,False
TXN-0000064,2026-01-21,2026-01-21T15:28:21,offline,24,CUST-066186,,,,home_appliances_004,home_appliances,Home Appliances Model 4,3,14359.10,43077.30,installment,False
TXN-0000065,2025-02-03,2025-02-03T10:09:51,online,,CUST-147546,1b9e5114,tablet,google,accessories_016,accessories,Accessories Model 16,3,34384.26,103152.78,card_online,False
TXN-0000066,2025-08-02,2025-08-02T14:28:58,offline,57,CUST-154279,,,,climate_020,climate,Climate Model 20,1,38828.54,38828.54,installment,False
TXN-0000067,2025-11-14,2025-11-14T11:40:13,marketplace,,CUST-069376,84f9ea33,desktop,,smartphones_020,smartphones,Smartphones Model 20,1,47388.99,47388.99,card_online,False
TXN-0000068,2025-02-08,2025-02-08T12:02:14,online,,CUST-075525,fa217087,desktop,organic,tablets_001,tablets,Tablets Model 1,3,29770.80,89312.40,card_online,False
TXN-0000069,2025-05-16,2025-05-16T11:27:07,online,,CUST-142754,79e3ee69,mobile,google,networking_026,networking,Networking Model 26,3,40233.50,120700.50,card_online,False
TXN-0000070,2025-01-31,2025-01-31T12:28:07,online,,CUST-122867,b31b8dde,desktop,organic,tablets_026,tablets,Tablets Model 26,3,41246.17,123738.51,cash,False
TXN-0000071,2025-09-10,2025-09-10T17:16:01,online,,CUST-023941,6bf3df81,mobile,organic,home_appliances_003,home_appliances,Home Appliances Model 3,2,36778.79,73557.58,card_pos,False
TXN-0000072,2025-01-11,2025-01-11T20:11:30,offline,67,CUST-072918,,,,networking_022,networking,Networking Model 22,3,2202.54,6607.62,card_pos,False
TXN-0000073,2025-08-12,2025-08-12T14:21:20,online,,CUST-175672,41bcdb63,mobile,google,photo_video_027,photo_video,Photo Video Model 27,1,23605.52,23605.52,card_online,False
TXN-0000074,2025-12-06,2025-12-06T13:16:20,offline,15,CUST-105953,,,,accessories_027,accessories,Accessories Model 27,1,22849.33,22849.33,card_pos,False
TXN-0000075,2025-10-05,2025-10-05T20:31:40,online,,CUST-115879,ed0613f2,desktop,google,home_appliances_014,home_appliances,Home Appliances Model 14,3,18215.61,54646.83,installment,False
TXN-0000076,2025-08-13,2025-08-13T17:51:15,online,,CUST-186066,b0396ab3,mobile,direct,printers_023,printers,Printers Model 23,1,48661.71,48661.71,installment,False
TXN-0000077,2025-02-28,2025-02-28T19:18:32,online,,CUST-184920,9adc0a35,mobile,facebook,home_appliances_004,home_appliances,Home Appliances Model 4,1,25018.10,25018.10,cash,False
TXN-0000078,2025-10-10,2025-10-10T10:55:04,online,,CUST-072417,420d7473,desktop,facebook,tablets_013,tablets,Tablets Model 13,3,25509.40,76528.20,card_online,False
TXN-0000079,2025-05-17,2025-05-17T17:42:31,online,,CUST-038954,b3ded1e0,mobile,direct,storage_001,storage,Storage Model 1,2,41905.30,83810.60,card_online,False
TXN-0000080,2025-07-13,2025-07-13T11:36:24,online,,CUST-061227,1c3085e5,desktop,direct,home_appliances_030,home_appliances,Home Appliances Model 30,1,49041.58,49041.58,card_online,False
TXN-0000081,2026-02-20,2026-02-20T15:02:08,marketplace,,CUST-131673,32cadc23,tablet,,accessories_013,accessories,Accessories Model 13,3,49043.74,147131.22,card_online,False
TXN-0000082,2025-08-14,2025-08-14T14:55:41,marketplace,,CUST-040465,df16adf6,mobile,,laptops_017,laptops,Laptops Model 17,1,36176.70,36176.70,card_pos,False
TXN-0000083,2025-11-16,2025-11-16T21:34:24,online,,CUST-083011,7a648299,desktop,email,wearables_013,wearables,Wearables Model 13,2,42645.60,85291.20,card_online,False
TXN-0000084,2025-11-13,2025-11-13T19:05:27,online,,CUST-025807,358fd3fd,desktop,organic,laptops_008,laptops,Laptops Model 8,2,49870.81,99741.62,card_online,False
TXN-0000085,2025-06-03,2025-06-03T13:27:09,online,,CUST-064015,2d9d4ae5,mobile,direct,printers_001,printers,Printers Model 1,1,14808.72,14808.72,card_pos,False
TXN-0000086,2025-02-10,2025-02-10T17:09:14,online,,CUST-120888,c8cdb85b,desktop,direct,climate_028,climate,Climate Model 28,3,12192.32,36576.96,installment,False
TXN-0000087,2025-08-27,2025-08-27T13:37:19,offline,82,CUST-180962,,,,printers_010,printers,Printers Model 10,1,3877.32,3877.32,cash,False
TXN-0000088,2025-06-04,2025-06-04T17:22:36,offline,38,CUST-077393,,,,tv_013,tv,Tv Model 13,1,12011.84,12011.84,card_pos,False
TXN-0000089,2025-12-04,2025-12-04T08:58:38,online,,CUST-195343,10b39885,mobile,email,accessories_009,accessories,Accessories Model 9,3,38958.92,116876.76,card_online,False
TXN-0000090,2025-11-07,2025-11-07T18:48:46,online,,CUST-172801,3ee6ea0b,desktop,google,networking_012,networking,Networking Model 12,1,31119.38,31119.38,card_online,False
TXN-0000091,2025-01-21,2025-01-21T10:05:58,online,,CUST-077362,ef6b911d,mobile,direct,audio_026,audio,Audio Model 26,3,18369.09,55107.27,card_online,False
TXN-0000092,2025-07-07,2025-07-07T21:30:51,marketplace,,CUST-077370,2b46ed1b,desktop,,kitchen_017,kitchen,Kitchen Model 17,1,12996.11,12996.11,card_online,False
TXN-0000093,2025-02-08,2025-02-08T14:54:51,marketplace,,CUST-146097,57e61e49,mobile,,tablets_025,tablets,Tablets Model 25,3,36264.99,108794.97,card_pos,True
TXN-0000094,2025-10-02,2025-10-02T17:24:52,online,,CUST-167392,c9a722a9,tablet,google,laptops_015,laptops,Laptops Model 15,3,33681.57,101044.71,card_online,True
TXN-0000095,2025-10-15,2025-10-15T21:29:58,online,,CUST-183784,dee7ec95,mobile,direct,gaming_030,gaming,Gaming Model 30,3,3347.21,10041.63,card_online,False
TXN-0000096,2025-06-05,2025-06-05T15:23:42,online,,CUST-194810,bcd69b31,desktop,direct,home_appliances_004,home_appliances,Home Appliances Model 4,3,6955.07,20865.21,installment,False
TXN-0000097,2025-08-01,2025-08-01T12:02:44,offline,48,CUST-116575,,,,photo_video_004,photo_video,Photo Video Model 4,3,20523.17,61569.51,card_pos,False
TXN-0000098,2025-02-20,2025-02-20T14:17:12,online,,CUST-032024,9083374a,tablet,facebook,photo_video_012,photo_video,Photo Video Model 12,3,18060.96,54182.88,card_online,False
TXN-0000099,2025-11-24,2025-11-24T10:50:36,online,,CUST-053794,ac376be5,mobile,facebook,climate_001,climate,Climate Model 1,2,12328.73,24657.46,card_online,False
TXN-0000100,2025-04-30,2025-04-30T21:09:08,online,,CUST-141615,e9e6e0b8,mobile,google,gaming_025,gaming,Gaming Model 25,3,340.21,1020.63,installment,True
TXN-0000101,2025-01-08,2025-01-08T10:16:03,offline,17,CUST-137911,,,,gaming_026,gaming,Gaming Model 26,3,16322.82,48968.46,card_pos,False
TXN-0000102,2025-09-01,2025-09-01T16:14:39,online,,CUST-011368,777db34e,desktop,email,home_appliances_025,home_appliances,Home Appliances Model 25,3,5629.89,16889.67,installment,False
TXN-0000103,2025-11-26,2025-11-26T09:31:45,marketplace,,CUST-116278,10d119b3,mobile,,smartphones_002,smartphones,Smartphones Model 2,2,21427.43,42854.86,card_online,False
TXN-0000104,2025-02-03,2025-02-03T13:24:38,online,,CUST-139083,97aca706,mobile,direct,tablets_009,tablets,Tablets Model 9,3,27507.15,82521.45,card_online,False
TXN-0000105,2025-02-28,2025-02-28T11:27:28,offline,30,CUST-118883,,,,storage_021,storage,Storage Model 21,3,36096.83,108290.49,installment,False
TXN-0000106,2025-02-18,2025-02-18T10:43:59,online,,CUST-124327,f445a5b2,mobile,facebook,gaming_014,gaming,Gaming Model 14,2,18839.19,37678.38,card_online,False
TXN-0000107,2026-01-14,2026-01-14T16:35:21,online,,CUST-175640,cfc21838,mobile,direct,gaming_026,gaming,Gaming Model 26,1,29404.96,29404.96,installment,False
TXN-0000108,2026-01-05,2026-01-05T16:13:09,online,,CUST-172160,7f994a61,mobile,facebook,smartphones_010,smartphones,Smartphones Model 10,2,5358.31,10716.62,card_online,False
TXN-0000109,2025-02-28,2025-02-28T20:52:39,online,,CUST-160845,806591f1,desktop,direct,networking_009,networking,Networking Model 9,2,42287.73,84575.46,installment,False
TXN-0000110,2025-12-22,2025-12-22T13:22:00,online,,CUST-047555,d7557836,desktop,direct,audio_001,audio,Audio Model 1,3,38166.99,114500.97,card_online,False
TXN-0000111,2025-11-21,2025-11-21T15:21:10,offline,48,CUST-085036,,,,smartphones_003,smartphones,Smartphones Model 3,1,18933.48,18933.48,card_pos,False
TXN-0000112,2025-03-21,2025-03-21T15:42:27,online,,CUST-127314,552978fe,desktop,direct,tablets_025,tablets,Tablets Model 25,3,4261.76,12785.28,card_online,False
TXN-0000113,2025-06-26,2025-06-26T16:42:19,online,,CUST-011906,2d712429,mobile,affiliate,accessories_004,accessories,Accessories Model 4,3,29737.09,89211.27,card_online,False
TXN-0000114,2025-04-19,2025-04-19T08:31:47,offline,56,CUST-099670,,,,networking_005,networking,Networking Model 5,2,16539.49,33078.98,card_pos,False
TXN-0000115,2025-12-09,2025-12-09T08:29:58,online,,CUST-020412,2926b62d,desktop,direct,networking_012,networking,Networking Model 12,3,2305.65,6916.95,installment,False
TXN-0000116,2025-08-02,2025-08-02T17:29:53,online,,CUST-180778,d3f87d4f,tablet,google,audio_004,audio,Audio Model 4,2,8758.28,17516.56,card_pos,False
TXN-0000117,2025-10-29,2025-10-29T11:21:49,online,,CUST-044075,b7cf7713,mobile,organic,accessories_017,accessories,Accessories Model 17,2,37340.08,74680.16,installment,False
TXN-0000118,2026-02-02,2026-02-02T11:06:09,offline,33,CUST-157916,,,,gaming_012,gaming,Gaming Model 12,3,40787.84,122363.52,card_pos,False
TXN-0000119,2025-12-02,2025-12-02T20:36:48,marketplace,,CUST-151905,ccc496ed,mobile,,laptops_006,laptops,Laptops Model 6,3,24806.03,74418.09,cash,False
TXN-0000120,2025-11-22,2025-11-22T15:04:30,offline,57,CUST-072005,,,,climate_011,climate,Climate Model 11,3,15942.72,47828.16,card_pos,False
TXN-0000121,2025-02-07,2025-02-07T12:04:41,online,,CUST-023671,dbbc9ef2,desktop,direct,audio_015,audio,Audio Model 15,1,18562.13,18562.13,card_online,False
TXN-0000122,2026-02-10,2026-02-10T13:38:30,online,,CUST-131431,5e456fc1,mobile,google,wearables_029,wearables,Wearables Model 29,3,32660.51,97981.53,card_online,False
TXN-0000123,2025-06-25,2025-06-25T19:28:28,online,,CUST-137382,b663e8f7,mobile,google,wearables_003,wearables,Wearables Model 3,1,2148.28,2148.28,card_online,False
TXN-0000124,2025-07-29,2025-07-29T18:21:04,offline,43,,,,,networking_011,networking,Networking Model 11,1,39502.50,39502.50,installment,False
TXN-0000125,2026-01-06,2026-01-06T13:05:37,marketplace,,CUST-173962,60116be8,mobile,,storage_022,storage,Storage Model 22,3,43688.33,131064.99,card_online,False
TXN-0000126,2025-12-24,2025-12-24T12:35:24,online,,CUST-168688,c1f8ad25,desktop,facebook,photo_video_013,photo_video,Photo Video Model 13,3,46911.51,140734.53,installment,False
TXN-0000127,2026-01-14,2026-01-14T16:23:01,online,,CUST-095053,4eea3330,mobile,affiliate,photo_video_030,photo_video,Photo Video Model 30,3,33587.71,100763.13,card_online,False
TXN-0000128,2025-04-09,2025-04-09T09:32:49,online,,CUST-141498,4f343a99,desktop,email,tv_005,tv,Tv Model 5,2,42251.53,84503.06,card_online,False
TXN-0000129,2026-01-28,2026-01-28T21:44:49,online,,CUST-163772,13080f42,desktop,google,climate_005,climate,Climate Model 5,1,8278.91,8278.91,card_online,False
TXN-0000130,2025-12-13,2025-12-13T19:50:28,marketplace,,CUST-061343,a6bfcfa2,mobile,,wearables_008,wearables,Wearables Model 8,3,14388.41,43165.23,card_online,False
TXN-0000131,2025-08-29,2025-08-29T15:29:49,online,,CUST-073865,6122d5af,desktop,direct,printers_027,printers,Printers Model 27,3,47366.08,142098.24,card_online,False
TXN-0000132,2025-04-13,2025-04-13T15:55:23,online,,CUST-145370,2a555e12,tablet,organic,networking_020,networking,Networking Model 20,2,2797.55,5595.10,installment,False
TXN-0000133,2025-02-12,2025-02-12T14:05:58,online,,CUST-058206,3012c064,desktop,email,networking_006,networking,Networking Model 6,3,7536.96,22610.88,cash,False
TXN-0000134,2025-07-22,2025-07-22T08:20:59,online,,CUST-025975,ca8c8916,desktop,organic,kitchen_012,kitchen,Kitchen Model 12,1,18869.65,18869.65,card_pos,False
TXN-0000135,2025-05-27,2025-05-27T15:28:39,online,,CUST-001377,e77a6056,tablet,google,printers_027,printers,Printers Model 27,1,37989.29,37989.29,card_online,False
TXN-0000136,2026-01-08,2026-01-08T09:03:15,online,,CUST-110055,43e887b3,desktop,organic,climate_017,climate,Climate Model 17,2,12033.48,24066.96,card_online,False
TXN-0000137,2025-09-13,2025-09-13T19:09:18,online,,CUST-112523,140734ab,mobile,direct,climate_018,climate,Climate Model 18,3,28836.36,86509.08,installment,False
TXN-0000138,2025-12-09,2025-12-09T16:32:50,marketplace,,CUST-133071,91a0bc5a,desktop,,laptops_017,laptops,Laptops Model 17,1,47678.50,47678.50,card_online,False
TXN-0000139,2025-11-22,2025-11-22T09:22:15,online,,CUST-192137,e258c6db,desktop,google,accessories_012,accessories,Accessories Model 12,1,17982.28,17982.28,installment,False
TXN-0000140,2025-03-10,2025-03-10T20:43:29,online,,CUST-182293,ccbeb39f,mobile,google,smartphones_012,smartphones,Smartphones Model 12,3,8918.44,26755.32,card_online,False
TXN-0000141,2025-08-23,2025-08-23T13:59:19,online,,CUST-135105,bf120b1d,mobile,facebook,smartphones_010,smartphones,Smartphones Model 10,1,44311.36,44311.36,card_online,False
TXN-0000142,2025-11-28,2025-11-28T13:17:07,online,,CUST-096475,642d5d8e,mobile,direct,tv_010,tv,Tv Model 10,1,43315.75,43315.75,card_online,False
TXN-0000143,2025-06-23,2025-06-23T16:17:51,offline,11,CUST-020691,,,,tablets_016,tablets,Tablets Model 16,2,46229.66,92459.32,installment,False
TXN-0000144,2026-02-26,2026-02-26T18:18:19,online,,CUST-116895,85b90e6e,desktop,direct,tablets_018,tablets,Tablets Model 18,1,4186.43,4186.43,installment,False
TXN-0000145,2025-01-22,2025-01-22T12:40:50,marketplace,,CUST-015037,e1440636,mobile,,wearables_028,wearables,Wearables Model 28,3,49906.90,149720.70,installment,False
TXN-0000146,2026-02-15,2026-02-15T17:43:50,online,,CUST-114865,df2de4f1,mobile,google,wearables_022,wearables,Wearables Model 22,1,7309.42,7309.42,card_pos,False
TXN-0000147,2025-07-16,2025-07-16T13:23:28,online,,CUST-020156,9424532c,desktop,direct,climate_002,climate,Climate Model 2,3,22605.14,67815.42,card_online,False
TXN-0000148,2025-05-08,2025-05-08T16:07:16,offline,100,CUST-116988,,,,laptops_001,laptops,Laptops Model 1,2,25982.71,51965.42,card_pos,False
TXN-0000149,2025-05-27,2025-05-27T21:04:28,marketplace,,CUST-045261,c58ab8bf,desktop,,wearables_030,wearables,Wearables Model 30,1,6306.34,6306.34,card_online,False
TXN-0000150,2025-12-16,2025-12-16T16:18:57,offline,39,CUST-186597,,,,storage_011,storage,Storage Model 11,3,3432.97,10298.91,card_pos,False
TXN-0000151,2025-09-18,2025-09-18T15:01:23,marketplace,,CUST-145234,831541e9,desktop,,tv_004,tv,Tv Model 4,1,11988.46,11988.46,card_online,False
TXN-0000152,2025-03-08,2025-03-08T19:46:30,online,,CUST-137808,6181aa0e,mobile,direct,climate_029,climate,Climate Model 29,2,20027.37,40054.74,installment,False
TXN-0000153,2025-06-12,2025-06-12T10:56:53,online,,CUST-144521,06f9c820,desktop,google,photo_video_003,photo_video,Photo Video Model 3,3,25963.53,77890.59,cash,False
TXN-0000154,2025-01-29,2025-01-29T13:59:45,online,,CUST-059106,c7f798b3,mobile,email,storage_004,storage,Storage Model 4,2,8398.92,16797.84,card_pos,False
TXN-0000155,2025-05-09,2025-05-09T12:39:34,marketplace,,CUST-024492,37d35437,mobile,,tv_021,tv,Tv Model 21,2,6432.48,12864.96,card_online,False
TXN-0000156,2025-03-20,2025-03-20T17:02:52,online,,CUST-007438,d0bb344e,mobile,email,tablets_022,tablets,Tablets Model 22,3,17012.46,51037.38,card_pos,False
TXN-0000157,2025-04-18,2025-04-18T18:34:18,online,,CUST-168273,bf1b0a16,tablet,direct,networking_019,networking,Networking Model 19,3,1707.24,5121.72,card_pos,False
TXN-0000158,2025-06-02,2025-06-02T15:29:13,offline,44,CUST-081942,,,,home_appliances_003,home_appliances,Home Appliances Model 3,1,22091.35,22091.35,cash,False
TXN-0000159,2025-06-26,2025-06-26T13:15:29,offline,16,CUST-064991,,,,accessories_005,accessories,Accessories Model 5,3,28169.23,84507.69,card_pos,False
TXN-0000160,2025-05-29,2025-05-29T10:52:20,online,,CUST-151438,f8cc8958,desktop,google,accessories_028,accessories,Accessories Model 28,1,48140.76,48140.76,card_online,False
TXN-0000161,2025-08-28,2025-08-28T14:32:29,online,,CUST-063106,cdd549c1,mobile,direct,home_appliances_029,home_appliances,Home Appliances Model 29,1,4683.44,4683.44,card_online,False
